id,non_wear_percentage,unique_days,enmo_mean,enmo_std,enmo_min,enmo_25%,enmo_50%,enmo_75%,enmo_max,anglez_mean,anglez_std,anglez_min,anglez_25%,anglez_50%,anglez_75%,anglez_max,light_mean,light_std,light_min,light_25%,light_50%,light_75%,light_max,battery_voltage_mean,battery_voltage_std,battery_voltage_min,battery_voltage_25%,battery_voltage_50%,battery_voltage_75%,battery_voltage_max,n_records
00115b9f,0.0,40,0.047387611120939255,0.10635114461183548,0.0,0.006431584944948554,0.023637235164642334,0.04141988139599562,4.004275798797607,-10.580415725708008,42.94717025756836,-89.83309173583984,-41.541863441467285,-15.086617469787598,12.220763921737671,89.75165557861328,42.29631042480469,208.16897583007812,0.0,2.3929691314697266,6.926828384399414,15.0,2633.25,4053.5791015625,112.40404510498047,3824.0,4028.666748046875,4070.0,4147.0,4188.5,43330.0
001f3379,65.57079,24,0.01646142080426216,0.04060959070920944,0.0,0.0008445754647254944,0.006559151690453291,0.015561709646135569,2.952888011932373,1.5944608449935913,45.46593475341797,-88.70977783203125,-29.97834348678589,7.511802673339844,35.475646018981934,89.47603607177734,29.5457820892334,161.4681854248047,0.0,1.246734619140625,3.7139569520950317,10.533333778381348,2597.800048828125,3984.5400390625,153.08636474609375,3098.166748046875,3947.0,4000.0,4076.0,4175.0,129316.0
00f332d1,17.124575,24,0.03644074499607086,0.11381928622722626,0.0,0.0010225387522950768,0.009547931142151356,0.027901825960725546,4.041167259216309,22.909385681152344,36.781951904296875,-89.46322631835938,3.387517213821411,26.668371200561523,49.093231201171875,89.86282348632812,56.66324996948242,238.88941955566406,0.0,2.9424902200698853,6.557170391082764,18.161591053009033,2611.0,3874.654296875,151.31185913085938,3541.0,3755.5,3841.0,3994.0,4187.0,341006.0
01085eb3,3.5210376,22,0.03367724269628525,0.08525720238685608,0.0,0.000937815013458021,0.007186535047367215,0.027709676884114742,4.097964763641357,-21.164793014526367,35.98833465576172,-89.8772201538086,-50.749207496643066,-23.782150268554688,3.118252992630005,88.47843170166016,18.371047973632812,74.31106567382812,0.0,2.55340713262558,7.220705986022949,18.274205684661865,2650.5,3866.360595703125,148.55043029785156,3401.0,3747.0,3835.0,3988.0,4184.0,357626.0
012cadd8,0.0,7,0.05827956646680832,0.1972847431898117,0.0,0.0016042408824432641,0.010466382838785648,0.03878140263259411,6.3072943687438965,-5.059757709503174,39.994808197021484,-89.3087158203125,-35.037017822265625,-2.822715401649475,22.951601028442383,88.38967895507812,54.893394470214844,230.97239685058594,0.0,2.3678272366523743,7.059159755706787,19.32048511505127,2618.0,3974.91064453125,119.52515411376953,3095.0,3940.4791870117188,3994.0,4046.0,4157.0,97048.0
012e3869,70.641045,14,0.022928908467292786,0.08451114594936371,0.0,0.00029584050935227424,0.0025635885540395975,0.01602554926648736,3.506497859954834,28.537263870239258,44.04624557495117,-89.45738220214844,0.17898759990930557,29.348339080810547,69.78880882263184,89.07841491699219,21.130401611328125,65.29053497314453,0.0,3.11946040391922,10.239962100982666,23.04271173477173,2446.0,3851.4228515625,109.27183532714844,3413.0,3771.0,3800.0,3988.0,4053.0,97164.0
029a19c9,4.6042485,22,0.027874963358044624,0.04475301504135132,0.0,0.0014193436945788562,0.014157860074192286,0.03441857639700174,1.8061505556106567,-10.60380744934082,35.30215835571289,-89.49456787109375,-36.77808380126953,-10.70003890991211,13.604964971542358,89.26689910888672,28.395544052124023,136.43235778808594,0.0,3.055540442466736,8.878826141357422,19.12314748764038,2610.5,3826.074462890625,116.5068588256836,3395.0,3736.0,3795.833251953125,3917.0,4143.0,350800.0
02cebf33,71.198265,21,0.034755509346723557,0.07239627093076706,0.0,0.001491243892814964,0.011890697292983532,0.0359816700220108,2.23679780960083,-4.932077884674072,44.41312789916992,-89.74868774414062,-36.579660415649414,-4.467362403869629,27.425737380981445,89.46604919433594,62.525917053222656,223.97341918945312,0.0,0.8333333134651184,7.222222328186035,28.5,2595.0,3997.853271484375,110.07553100585938,3098.166748046875,3943.5,4005.166748046875,4082.0,4168.0,103246.0
02cf7384,27.096601,24,0.02907697670161724,0.06496591120958328,0.0,0.00018889277998823673,0.0062849377281963825,0.02371989469975233,2.434495449066162,-5.2647600173950195,43.376495361328125,-89.94284057617188,-38.025790214538574,-7.84183669090271,19.3755784034729,89.63865661621094,17.735973358154297,70.59204864501953,0.0,1.4623647928237915,5.5,15.105315923690796,2617.800048828125,3862.56494140625,165.29348754882812,3098.166748046875,3771.0,3841.0,3982.0,4181.0,289668.0
035c96dd,86.2851,8,0.02911710925400257,0.09212920814752579,0.0,0.0005431747413240373,0.0026833792217075825,0.016308223828673363,2.0638058185577393,-14.050798416137695,42.41414260864258,-89.81977844238281,-41.663265228271484,-12.206949234008789,6.256769180297852,86.13436889648438,19.877403259277344,66.07731628417969,0.0,3.721865177154541,7.490196228027344,11.38327693939209,2287.800048828125,4078.345458984375,49.14790725708008,3695.0,4041.0,4077.833251953125,4123.0,4177.0,53905.0
